nameOrig,nameDest,amount_clipped,type,isFraud,customer_age,account_type,region,tenure_years,credit_score,avg_monthly_trans,device_type,kyc_verified
C3996840415,C2164547123,0.6016412432486352,CASH_IN,0,0.4901960784313726,Savings,North,0.7650000000000001,0.7158469945355191,0.16872427983539098,Web,False
C5321118252,C8560552146,0.8203984309548524,CASH_OUT,0,0.7647058823529412,Savings,South,0.9400000000000001,0.7358834244080145,0.1049382716049383,Branch,True
C1433539154,C4102733279,0.8857687158558232,TRANSFER,0,0.0,Checking,North,0.215,0.8160291438979964,0.9079218106995888,Web,True
C6335342459,C5326715272,0.22608299322667635,PAYMENT,0,0.4901960784313726,Business,North,0.77,0.2367941712204007,0.9989711934156381,Branch,True
C8344866777,C2302590308,0.20996100904349496,CASH_IN,0,0.5294117647058824,Checking,West,0.020000000000000004,0.1238615664845173,0.1630658436213992,Branch,True
C3864117943,C6835406114,0.6110612023480702,DEBIT,0,0.1568627450980392,Savings,North,0.67,0.6265938069216758,0.052983539094650214,Mobile,True
C5949217911,C5349068428,0.4100240796726606,CASH_IN,0,0.8431372549019608,Checking,West,0.47000000000000003,0.581056466302368,0.3292181069958848,Mobile,True
C6438150198,C1785397155,0.8411830344612847,DEBIT,0,0.4117647058823529,Savings,South,0.34500000000000003,0.3205828779599271,0.4614197530864198,Mobile,False
C9684539509,C5264659713,0.9016711939362946,CASH_IN,0,0.13725490196078433,Checking,West,0.86,0.9617486338797813,0.20370370370370375,Web,True
C3505071846,C4340271180,0.3521044332015999,CASH_IN,0,0.9411764705882354,Business,South,0.8550000000000001,0.2896174863387978,0.30092592592592593,Web,True
C4617353510,C7202722837,0.2349214572313008,CASH_IN,0,0.8039215686274509,Checking,South,0.020000000000000004,0.9690346083788707,0.20010288065843626,Mobile,False
C3357853072,C9520812939,0.7815254386181502,DEBIT,0,0.5098039215686275,Business,South,0.61,0.24408014571948988,0.7752057613168726,Web,True
C1941774493,C9815739916,0.27306272904147094,DEBIT,0,0.7450980392156864,Business,North,0.37000000000000005,0.20036429872495443,0.7134773662551442,Web,True
C1144608012,C1448460600,0.8238425551096938,CASH_IN,0,0.3529411764705882,Checking,West,0.41500000000000004,0.5136612021857924,0.6352880658436216,Branch,True
C1921820562,C3443764204,0.42280279385629976,TRANSFER,0,0.47058823529411764,Business,East,0.8300000000000001,0.9453551912568307,0.3868312757201646,Web,False
C2787227922,C2704197176,0.6679369127869118,CASH_OUT,0,0.7254901960784313,Business,North,0.31000000000000005,0.35154826958105645,0.9104938271604941,Branch,False
C4262506264,C1008918562,0.0928195612547896,CASH_OUT,0,0.3921568627450981,Savings,South,0.945,0.08378870673952632,0.9711934156378602,Mobile,False
C6101746206,C3225994457,0.624009347490512,CASH_OUT,0,0.4509803921568628,Savings,East,0.18000000000000002,0.6211293260473588,0.17283950617283952,Web,True
C4091480758,C8363548275,0.4509842402063161,DEBIT,0,0.4509803921568628,Business,North,0.665,0.4389799635701275,0.22222222222222227,Branch,True
C7244654153,C7204628546,0.5865564580803198,DEBIT,0,0.3529411764705882,Checking,East,0.67,0.9489981785063751,0.5257201646090536,Web,True
C8822990819,C9287781957,0.1656915652545556,TRANSFER,0,0.9607843137254902,Business,South,0.25,0.6721311475409836,0.09002057613168726,Branch,True
C7284278961,C1535210430,0.7376368876908987,CASH_OUT,0,0.9019607843137255,Checking,East,0.325,0.2367941712204007,0.43621399176954734,Branch,False
C7714274845,C1226429665,0.8642432415455582,CASH_OUT,0,0.019607843137254943,Savings,East,0.835,0.4899817850637521,0.5817901234567903,Web,True
C4937590330,C7211254735,0.21468144605298423,CASH_IN,0,0.2549019607843137,Checking,South,0.76,0.1092896174863387,0.5221193415637861,Mobile,True
C7019163147,C3379323787,0.09299975133085744,DEBIT,0,0.607843137254902,Business,East,0.33,0.296903460837887,0.33024691358024694,Branch,True
C9083094817,C2954534956,0.020532772792252872,CASH_OUT,0,0.8039215686274509,Business,North,0.535,0.9544626593806921,0.542695473251029,Mobile,True
C8833067255,C2306202006,0.6422198070531181,TRANSFER,0,0.607843137254902,Business,East,0.06,0.4936247723132968,0.9603909465020578,Web,True
C8394737790,C6591188645,0.6071531289683533,TRANSFER,0,0.5294117647058824,Business,West,0.21000000000000002,0.2404371584699453,0.20524691358024696,Web,True
C8657998172,C9159334399,0.5464288722284956,CASH_OUT,0,0.9215686274509803,Business,North,0.485,0.44262295081967207,0.6553497942386832,Mobile,True
C8366035217,C7993954643,0.2299712577643255,DEBIT,0,0.7450980392156864,Checking,East,0.085,0.7887067395264117,0.04218106995884775,Web,True
C9142084304,C2883983182,0.3897924143516619,TRANSFER,0,0.7647058823529412,Business,West,0.845,0.06739526411657559,0.0653292181069959,Branch,True
C7300579591,C3145543751,0.5944670236351931,CASH_IN,0,0.8039215686274509,Savings,West,0.7200000000000001,0.5792349726775955,0.5519547325102881,Mobile,True
C2461881221,C4284688944,0.4962275349365038,TRANSFER,0,0.9019607843137255,Business,West,0.945,0.9271402550091074,0.10390946502057616,Web,False
C5039195563,C8760033393,0.9899096306507298,PAYMENT,0,0.7647058823529412,Checking,East,0.6950000000000001,0.6830601092896175,0.021090534979423873,Web,True
C1355260223,C5661192053,0.13394583451482014,PAYMENT,0,0.23529411764705888,Business,South,0.9400000000000001,0.8615664845173042,0.17026748971193417,Mobile,False
C4998130843,C4720230692,0.6956812574289668,DEBIT,1,0.21568627450980393,Business,West,0.555,0.1056466302367941,0.5648148148148149,Branch,True
C1558044778,C7438956786,0.40327791204237745,CASH_OUT,0,0.13725490196078433,Checking,South,0.6000000000000001,0.907103825136612,0.7042181069958848,Mobile,True
C2814127698,C6433620046,0.4272883402309149,DEBIT,0,0.27450980392156865,Business,North,0.9750000000000001,0.3952641165755919,0.20164609053497945,Web,True
C2620549829,C7150438522,0.7182562987113277,DEBIT,0,0.4901960784313726,Checking,South,0.6400000000000001,0.2331511839708561,0.6687242798353912,Web,True
C1498313616,C6241266262,0.6929581952358902,DEBIT,0,0.21568627450980393,Business,South,0.03,0.6958105646630236,0.18158436213991774,Mobile,True
C5476608982,C1443312143,0.9933990034295838,DEBIT,0,0.823529411764706,Savings,South,0.7250000000000001,0.7049180327868853,0.6136831275720166,Branch,True
C7720030620,C7807674213,0.12585678827634167,CASH_IN,1,0.9803921568627451,Business,South,0.9050000000000001,0.15300546448087426,0.411522633744856,Branch,True
C4995053883,C8159433100,0.10144032910166471,CASH_IN,0,0.8823529411764707,Checking,South,0.795,0.9271402550091074,0.6543209876543211,Branch,True
C5892465326,C2147375055,0.725033939273424,TRANSFER,0,0.5098039215686275,Savings,North,0.585,0.7941712204007286,0.9963991769547328,Mobile,True
C4760292074,C1554420966,0.5782903388932055,PAYMENT,0,0.33333333333333337,Checking,North,0.67,0.5318761384335154,0.939300411522634,Branch,True
C1785151076,C4188148883,0.27241386377313065,DEBIT,0,0.8627450980392156,Business,South,0.9900000000000001,0.08743169398907102,0.0025720164609053485,Branch,True
C2195888151,C7964369900,0.07661612954838559,TRANSFER,0,0.6862745098039217,Savings,South,0.09000000000000001,0.12021857923497259,0.8868312757201647,Branch,True
C3903862723,C9157914670,0.08288889601899946,PAYMENT,0,0.9411764705882354,Checking,West,0.665,0.2331511839708561,0.0653292181069959,Branch,True
C6450176200,C1573525178,0.8958073744742565,CASH_OUT,1,0.9803921568627451,Savings,North,0.28500000000000003,0.051001821493624755,0.954218106995885,Web,True
C3041855827,C6955815876,0.1896740398487031,CASH_IN,0,0.5098039215686275,Savings,East,0.6400000000000001,0.6229508196721311,0.2813786008230453,Mobile,False
C5745114512,C9458898996,0.3218916252909126,PAYMENT,0,0.1568627450980392,Checking,North,0.61,0.9908925318761385,0.381687242798354,Mobile,True
C3141345269,C7472514095,0.2246518295254076,CASH_OUT,0,0.7450980392156864,Savings,East,0.15500000000000003,0.2149362477231329,0.09053497942386833,Branch,False
C3044265826,C5004404799,0.35368793393704434,PAYMENT,0,0.0,Checking,West,0.205,0.2404371584699453,0.11111111111111113,Mobile,True
C8019798271,C4685970101,0.06656641015519348,CASH_IN,0,0.11764705882352944,Savings,South,0.6200000000000001,0.5938069216757741,0.727366255144033,Mobile,True
C8605444834,C1732726265,0.5186413905648821,CASH_IN,0,0.4901960784313726,Savings,West,0.13,0.3351548269581056,0.9454732510288067,Web,True
C1798962700,C5287235941,0.0647453038674342,TRANSFER,0,0.11764705882352944,Savings,South,0.265,0.9198542805100182,0.6111111111111113,Mobile,True
C7666087140,C5616918218,0.8014639934080452,DEBIT,0,1.0,Business,North,0.835,0.9708561020036429,0.7165637860082306,Web,True
C2785836643,C2751899686,0.23174580824560073,PAYMENT,0,0.11764705882352944,Business,South,0.325,0.4371584699453551,0.7628600823045268,Mobile,True
C4735604389,C5387934273,0.5397071388551792,PAYMENT,0,0.13725490196078433,Checking,East,0.49000000000000005,0.9380692167577412,0.2618312757201646,Web,True
C4419827299,C9984116387,0.881619014823879,CASH_OUT,0,0.2941176470588236,Savings,East,0.9400000000000001,0.29872495446265934,0.043724279835390956,Web,True
C4238504278,C9071637114,0.6511740069827169,CASH_IN,1,0.03921568627450983,Checking,West,0.225,0.3952641165755919,0.0005144032921810711,Mobile,True
C1154355436,C3208588222,0.532614768974951,PAYMENT,0,0.8627450980392156,Business,North,0.39,0.007285974499089187,0.3503086419753087,Web,True
C6990338440,C4228933162,0.3228590408723014,CASH_IN,0,0.17647058823529416,Business,East,0.605,0.14571948998178497,0.24074074074074078,Web,True
C8460772866,C7821978707,0.331574227514616,PAYMENT,0,0.9607843137254902,Business,West,0.755,0.448087431693989,0.06121399176954734,Mobile,True
C3930000411,C5570869885,0.6698845141169107,TRANSFER,0,0.11764705882352944,Business,North,0.9,0.8961748633879781,0.1784979423868313,Web,True
C7782506048,C4686501128,0.9962979319413225,DEBIT,0,0.3921568627450981,Checking,North,0.915,0.7012750455373405,0.12345679012345681,Web,False
C4536087088,C7286208929,0.6621952646097078,PAYMENT,0,0.7058823529411765,Savings,West,0.775,0.5573770491803277,0.9161522633744859,Web,True
C8653697589,C5066819486,0.5575750160577613,CASH_IN,0,0.5882352941176471,Checking,East,0.22999999999999998,0.9872495446265938,0.13940329218106998,Web,True
C7630595124,C6476813937,0.7313798074099427,TRANSFER,0,0.43137254901960786,Savings,East,0.025,0.010928961748633781,0.5375514403292182,Web,True
C3955128393,C9295639124,0.46449507712647875,PAYMENT,0,0.5098039215686275,Business,West,0.385,0.936247723132969,0.5936213991769549,Branch,True
C6333872140,C2452690926,0.057234535043836375,CASH_OUT,0,0.4117647058823529,Savings,East,0.13999999999999999,0.13114754098360648,0.5437242798353911,Web,True
C4913010277,C9220036079,0.5621129502837331,DEBIT,0,0.7450980392156864,Business,West,0.71,0.016393442622950727,0.09773662551440332,Web,True
C8341743952,C5213555586,0.9595858127824649,PAYMENT,0,0.5098039215686275,Checking,East,0.66,0.22040072859744986,0.31841563786008237,Web,False
C5429922978,C8137422724,0.17301983129463608,TRANSFER,0,0.9411764705882354,Savings,East,0.045000000000000005,0.9326047358834243,0.049897119341563795,Web,True
C4161956738,C8803484377,0.6905137640142333,CASH_OUT,0,0.05882352941176472,Checking,West,0.835,0.8014571948998178,0.39557613168724287,Mobile,True
C4891523339,C4219273684,0.1987896265372801,TRANSFER,0,0.4509803921568628,Business,West,0.25,0.06739526411657559,0.18775720164609055,Branch,True
C6440328563,C4004476761,0.5355002234519838,TRANSFER,1,0.43137254901960786,Checking,East,0.43,0.6265938069216758,0.5617283950617286,Mobile,True
C8569059648,C6613226238,0.09396686525475281,CASH_OUT,0,0.9215686274509803,Business,West,0.67,0.6138433515482696,0.6934156378600824,Branch,True
C8976310731,C8159435534,0.44957992402196145,TRANSFER,0,0.3529411764705882,Business,East,0.43,0.33333333333333326,0.5324074074074076,Web,True
C1328070825,C1051187343,0.7570310512576738,CASH_OUT,0,0.8039215686274509,Business,South,0.44000000000000006,0.12021857923497259,0.4341563786008231,Web,True
C6874371304,C1599974146,0.3462229164999481,PAYMENT,0,0.03921568627450983,Checking,North,0.065,0.02914389799635697,0.3868312757201646,Branch,True
C6075531172,C4733839681,0.665284438447295,CASH_OUT,0,0.5098039215686275,Checking,North,0.4,0.6958105646630236,0.8425925925925928,Branch,True
C7165458310,C8459612826,0.796530787313199,CASH_OUT,0,0.03921568627450983,Savings,East,0.7650000000000001,0.6684881602914389,0.21862139917695475,Mobile,True
C2468035736,C7446918745,0.9289732081405021,DEBIT,1,0.5294117647058824,Savings,North,0.915,0.5737704918032785,0.735082304526749,Branch,True
C4174094902,C7754955069,0.2326808459226961,CASH_OUT,0,0.3137254901960784,Checking,East,0.41500000000000004,0.9034608378870673,0.7582304526748972,Web,True
C6253876230,C9322192600,0.39824797444464216,CASH_OUT,0,0.5882352941176471,Checking,West,0.42500000000000004,0.6265938069216758,0.418724279835391,Mobile,True
C7745888779,C3884758726,0.15000879438178957,PAYMENT,0,0.17647058823529416,Checking,South,0.7050000000000001,0.8597449908925318,0.2968106995884774,Branch,True
C3349189279,C2092034759,0.994633184787651,DEBIT,0,0.9411764705882354,Checking,North,0.945,0.2076502732240436,0.47067901234567905,Branch,True
C3603379670,C9697240404,0.9287954313243817,CASH_IN,0,0.4117647058823529,Business,North,0.265,0.180327868852459,0.09207818930041153,Mobile,True
C2250455031,C7896659757,0.5396520360863817,PAYMENT,0,0.5686274509803921,Business,West,0.44000000000000006,0.7959927140255009,0.04475308641975309,Branch,True
C5949210170,C3263663196,0.8433668336086293,PAYMENT,0,0.9411764705882354,Business,South,0.795,0.6265938069216758,0.11059670781893008,Web,True
C5026009756,C8529588105,0.5205498769732345,CASH_IN,0,0.3921568627450981,Checking,South,0.61,0.633879781420765,0.18621399176954737,Mobile,True
